180,"amniotic fluid embolism","amniotic fluid embolism"
181,"amylase","amylase"
182,"ANA","ANA"
183,"ANA titre","ANA titre"
184,"anaemia","anaemia"
185,"anal discomfort","anal discomfort"
186,"anal irritation","anal irritation"
187,"anal pruritus","anal pruritus"
188,"anal ulceration","anal ulceration"
189,"anaphylactic","anaphylactic"
190,"anaphylactic reaction","anaphylactic"
191,"anaphylactoid infusion related reaction","anaphylactoid infusion related"
192,"anaphylactoid reaction","anaphylactoid"
193,"anaphylatic reaction","anaphylatic"
194,"androgenic effects","androgenic"
195,"anemia","anemia"
196,"anger","anger"
197,"angina","angina"
198,"angina pain","angina pain"
199,"angina pectoris","angina pectoris"
200,"angina/ chest pain","angina/ chest pain"
201,"anginal","anginal"
202,"anginal pain","anginal pain"
203,"anginal symptoms","anginal"
204,"angio/ peripheral oedema","angio/ peripheral oedema"
205,"angioedema","angioedema"
206,"angioneurotic oedema","angioneurotic oedema"
208,"angle closure glaucoma","angle closure glaucoma"
210,"anhidrosis","anhidrosis"
211,"anhydrosis","anhydrosis"
212,"anorexia","anorexia"
213,"anorexia nervosa","anorexia nervosa"
214,"anorgasmia","anorgasmia"
215,"antepartum","antepartum"
216,"anterograde amnesia","anterograde amnesia"
217,"anticholinergic effect","anticholinergic"
218,"Anticholinergic effects","Anticholinergic"
219,"antidegarelix Ab development","antidegarelix Ab development"
220,"antidiuretic effect","antidiuretic"
221,"anti-drug Abs","anti-drug Abs"
222,"anti-exenatide Ab formation","anti-exenatide Ab formation"
223,"anti-idursulfase Ab formation","anti-idursulfase Ab formation"
224,"anti-infliximab Abs","anti-infliximab Abs"
225,"anti-liraglutide Ab formation","anti-liraglutide Ab formation"
226,"antinuclear factor test","antinuclear factor test"
227,"anti-PTH Abs","anti-PTH Abs"
228,"anuria","anuria"
229,"anxiety","anxiety"
230,"apathy","apathy"
231,"Apgar score low","Apgar score low"
232,"aphasia","aphasia"
233,"APL differentiation syndrome","APL differentiation"
234,"aplastic anaemia","aplastic anaemia"
235,"apnoea","apnoea"
236,"appendicitis","appendicitis"
237,"appetite decr","appetite"
238,"appetite disorder","appetite"
239,"appetite disturbance","appetite"
240,"appetite loss","appetite"
241,"appetite stimulation","appetite stimulation"
242,"applic site burning","applic burning"
243,"Applic site irritation","Applic irritation"
244,"Applic site pain","Applic pain"
245,"Applic site reaction","Applic site"
246,"Applic site reactions","Applic"
247,"Application site burning","Application burning"
248,"application site reaction ","application site"
249,"apprehension","apprehension"
250,"apprehensiveness","apprehensiveness"
251,"APTT","APTT"
252,"arachnoiditis","arachnoiditis"
253,"ARDS","ARDS"
254,"argyria","argyria"
255,"arrhythmia","arrhythmia"
256,"Arterial thromboembolism","Arterial thromboembolism"
257,"arthralgia","arthralgia"
258,"arthritis","arthritis"
259,"arthropathy","arthropathy"
260,"arthrosis","arthrosis"
261,"ascites","ascites"
262,"aseptic","aseptic"
263,"aseptic mecrosis of humeral head","aseptic mecrosis humeral head"
264,"aseptic meningitis ","aseptic meningitis "
265,"aseptic necrosis of bone","aseptic necrosis bone"
266,"aspermia","aspermia"
267,"asphyxia","asphyxia"
268,"aspiration","aspiration"
269,"assoc laryngeal oedema","laryngeal oedema"
270,"asthenia","asthenia"
271,"asthenopia","asthenopia"
272,"asthma","asthma"
273,"asymptomatic incr pancreatic enzymes","asymptomatic pancreatic enzymes"
274,"asystole","asystole"
275,"ataxia","ataxia"
276,"athetotic","athetotic"
277,"atopic dermatitis","atopic dermatitis"
278,"atrial arrhythmia","atrial arrhythmia"
279,"atrial extrasystoles","atrial extrasystoles"
280,"atrial fibrillation","atrial fibrillation"
281,"atrial flutter","atrial flutter"
282,"attempted suicide","attempted suicide"
283,"attention","attention"
284,"attention disturbance","attention"
285,"atypical autoimmune disorder","autoimmune"
286,"atypical femoral fracture","femoral fracture"
287,"atypical mycobacterial infection","mycobacterial"
288,"atypical stress fracture","stress fracture"
289,"auditory disturbance","auditory"
290,"augmentation","augmentation"
291,"autoAb formation","autoAb formation"
292,"autoimmune cytopenia","autoimmune cytopenia"
293,"autoimmune disorder","autoimmune"
294,"autoimmune disorder eg Grave's disease","autoimmune eg Grave's"
295,"autoimmune disorder eg Graves'disease","autoimmune eg Graves'disease"
296,"autoimmune hepatitis","autoimmune hepatitis"
298,"autonomic effect","autonomic"
299,"autonomic neuropathy","autonomic neuropathy"
300,"A-V block","A-V block"
301,"A-V dissociation","A-V dissociation"
302,"azoospermia","azoospermia"
303,"azotaemia","azotaemia"
304,"back pain","back pain"
305,"backache","backache"
306,"bacteraemia","bacteraemia"
307,"bacteria in sputum","bacteria sputum"
308,"bacterial","bacterial"
309,"bacterial infection","bacterial"
310,"bacteriuria","bacteriuria"
311,"bad taste","bad taste"
312,"balance disorder","balance"
313,"balanitis","balanitis"
314,"balanoposthitis","balanoposthitis"
315,"Balonoposthitis","Balonoposthitis"
316,"basal cell carcinoma","basal cell carcinoma"
317,"basal celll carcinoma","basal celll carcinoma"
318,"BCC","BCC"
319,"behavioural change","behavioural"
320,"behavioural change crying","behavioural crying"
321,"benign brain neoplasm","benign brain neoplasm"
322,"benign breast neoplasm","benign breast neoplasm"
323,"benign hepatic adenoma","benign hepatic adenoma"
324,"benign intracranial hypertension","benign intracranial hypertension"
325,"benign neoplasm","benign neoplasm"
326,"benign pituitary adenoma","benign pituitary adenoma"
327,"benign pituitary tumour","benign pituitary tumour"
328,"benign skin neoplasm","benign skin neoplasm"
329,"bezoars","bezoars"
330,"bilateral","bilateral"
331,"bilateral diaphyseal femoral fracture","bilateral diaphyseal femoral fracture"
332,"bilateral papilloedema","bilateral papilloedema"
333,"bile duct stenosis","bile duct stenosis"
334,"biliary dilatation","biliary dilatation"
335,"biliary sludge","biliary sludge"
336,"biliary spasm","biliary spasm"
337,"biliary stasis","biliary stasis"
338,"binge and compulsive eating","binge compulsive eating"
339,"binge eating","binge eating"
340,"binge or compulsive eating","binge compulsive eating"
341,"biotin/ biotinidase deficiency","biotin/ biotinidase deficiency"
342,"bipolar","bipolar"
343,"birth defects","birth defects"
344,"bitter taste","bitter taste"
345,"BK virus assoc nephropathy","BK virus nephropathy"
346,"black tongue","black tongue"
347,"bladder atony","bladder atony"
348,"bladder cancer","bladder cancer"
349,"bladder constriction","bladder constriction"
350,"bladder diverticulum","bladder diverticulum"
351,"bladder irritability","bladder irritability"
352,"bladder irritation","bladder irritation"
353,"bladder pain","bladder pain"
354,"bladder spasm","bladder spasm"
355,"bleeding","bleeding"
356,"bleeding irregularity","bleeding irregularity"
357,"bleeding skin","bleeding skin"
358,"blepharal pigmentation","blepharal pigmentation"
359,"blepharitis","blepharitis"
360,"blepharoconjunctivitis","blepharoconjunctivitis"
361,"blepharoptosis","blepharoptosis"
362,"blepharospasm","blepharospasm"
363,"blindness","blindness"
364,"blistering","blistering"
365,"bloating","bloating"
366,"blood and lymphatic system disorders","blood lymphatic system"
367,"blood dyscasia","blood dyscasia"
368,"blood dyscrasia","blood dyscrasia"
369,"blood dyscrasias","blood dyscrasias"
370,"blood glucose abnormality","blood glucose"
371,"blood lipid change","blood lipid"
372,"Blood sugar change","Blood sugar"
373,"blue coloured skin","blue coloured skin"
374,"blue/ green urine discolouration","blue/ green urine discolouration"
375,"bluish sclera discolouration","bluish sclera discolouration"
376,"blurred vision","blurred vision"
377,"blurred vison","blurred vison"
378,"body hair loss","body hair"
379,"body temp regulation disruption","body temp regulation disruption"
380,"body temperature change","body temperature"
381,"bone fracture","bone fracture"
382,"bone marrow dysplasia","bone marrow dysplasia"
383,"bone marrow suppression","bone marrow suppression"
384,"bone marrow toxicity","bone marrow toxicity"
385,"bone metastases","bone metastases"
386,"bone necrosis","bone necrosis"
387,"bone pain","bone pain"
388,"bone toxicity","bone toxicity"
389,"borborygmi","borborygmi"
390,"bowel habit change","bowel habit"
391,"bowel necrosis","bowel necrosis"
392,"bowel obstruction","bowel obstruction"
393,"bowel obstruction/ perforation","bowel obstruction/ perforation"
394,"bowel perforation","bowel perforation"
395,"BP change","BP"
396,"BP fluctuation","BP fluctuation"
397,"BPH","BPH"
398,"brachial plexopathy","brachial plexopathy"
399,"bradycardia","bradycardia"
400,"bradycardia during/after insertion","bradycardia during/after insertion"
401,"bradycardia/ tachycardia","bradycardia/ tachycardia"
402,"bradycardia/tachycardia","bradycardia/tachycardia"
403,"bradyphrenia","bradyphrenia"
404,"brain haemorrhage","brain haemorrhage"
405,"brain MRI abnormality","brain MRI"
406,"breakthrough bleeding","breakthrough bleeding"
407,"breakthrough uterine bleeding","breakthrough uterine bleeding"
408,"breast cancer","breast cancer"
409,"breast discomfort","breast discomfort"
410,"breast enlargement","breast enlargement"
411,"breast tenderness","breast tenderness"
412,"breathholding","breathholding"
413,"breathing difficulty","breathing difficulty"
414,"breathy dysphonia","breathy dysphonia"
415,"brittle nails","brittle nails"
416,"broken nails","broken nails"
417,"bronchial constriction","bronchial constriction"
418,"bronchial hypersecretion","bronchial hypersecretion"
419,"bronchial plug","bronchial plug"
420,"bronchiectasis","bronchiectasis"
421,"bronchitis","bronchitis"
422,"bronchopneumonia","bronchopneumonia"
423,"bronchospasm","bronchospasm"
424,"bronchospaspm","bronchospaspm"
425,"brown urine discolouration","brown urine discolouration"
426,"bruising","bruising"
427,"buccal cavity infection","buccal cavity"
428,"Budd-Chiari syndrome","Budd-Chiari"
429,"buffalo hump","buffalo hump"
430,"bulging fontanelle","bulging fontanelle"
431,"bullous dermatitis","bullous dermatitis"
432,"bullous keratopathy","bullous keratopathy"
433,"bullous or exfoliative rash","bullous exfoliative rash"
434,"bullous skin lesions","bullous skin lesions"
435,"burning sensation","burning sensation"
436,"burning sensation in hands","burning sensation hands"
437,"burning sensation in skull","burning sensation skull"
438,"bursitis","bursitis"
439,"C. difficile assoc diarrhoea","C. difficile diarrhoea"
440,"calcineurin inhibitor induced pain syndrome","calcineurin inhibitor induced pain"
441,"calcinosis","calcinosis"
442,"Call-Fleming syndrome","Call-Fleming"
443,"campylobacter","campylobacter"
444,"cancer","cancer"
445,"candidiasis","candidiasis"
446,"candidiasis overgrowth","candidiasis overgrowth"
447,"capillary leak syndrome","capillary leak"
448,"carcinoma","carcinoma"
449,"carcinomas","carcinomas"
450,"cardiac arrest","cardiac arrest"
451,"cardiac arrest/ failure","cardiac arrest/"
452,"cardiac arrhythmia","cardiac arrhythmia"
453,"cardiac arrhythmia/ arrest","cardiac arrhythmia/ arrest"
454,"cardiac collapse","cardiac collapse"
455,"cardiac condition","cardiac condition"
456,"cardiac depression","cardiac depression"
457,"cardiac disorder","cardiac"
458,"cardiac disorders","cardiac"
459,"cardiac dysfunction","cardiac"
460,"cardiac effects","cardiac"
461,"cardiac failure","cardiac"
462,"cardiac failure event","cardiac"
463,"cardiac irregularity","cardiac irregularity"
464,"cardiac ischaemia","cardiac ischaemia"
465,"cardiac murmur","cardiac murmur"
466,"cardiac rupture","cardiac rupture"
467,"cardiac symptoms","cardiac"
468,"cardiac tamponade","cardiac tamponade"
469,"cardiac toxicity","cardiac toxicity"
470,"cardiac valve fibrosis","cardiac valve fibrosis"
471,"cardiac valvulopathy","cardiac valvulopathy"
472,"cardiac/ renal failure","cardiac/ renal"
473,"cardiogenic shock","cardiogenic shock"
474,"cardiomegaly","cardiomegaly"
475,"cardiomyopathy","cardiomyopathy"
476,"cardiopulmonary arrest","cardiopulmonary arrest"
477,"cardiopulmonary effects","cardiopulmonary"
478,"cardiorespiratory arrest","cardiorespiratory arrest"
479,"Cardiorespiratory depression","Cardiorespiratory depression"
480,"cardiotoxicity","cardiotoxicity"
481,"Cardiovascular collapse","Cardiovascular collapse"
482,"Cardiovascular effects","Cardiovascular"
483,"Cardiovascular thrombotic event","Cardiovascular thrombotic"
484,"Cardiovascular toxicity","Cardiovascular toxicity"
485,"carpal tunnel syndrome","carpal tunnel"
486,"cataract","cataract"
487,"catatonia","catatonia"
488,"catheter related infection","catheter related"
489,"cauda equina syndrome","cauda equina"
490,"cellular depression","cellular depression"
491,"cellulitis","cellulitis"
492,"central serous chorioretinopathy","central serous chorioretinopathy"
493,"cerebellar","cerebellar"
494,"cerebellar ataxia","cerebellar ataxia"
495,"cerebellar syndrome","cerebellar"
496,"cerebral haemmorhage","cerebral haemmorhage"
497,"cerebral haemorrhage","cerebral haemorrhage"
498,"cerebral infarction","cerebral infarction"
499,"cerebral ischaemia","cerebral ischaemia"
500,"cerebral oedema","cerebral oedema"
501,"cerebral vasculitis","cerebral vasculitis"
502,"cerebrovascular event","cerebrovascular"
503,"cerebrovascular ischaemia","cerebrovascular ischaemia"
504,"cerebrovascular spasm","cerebrovascular spasm"
505,"cervical cancer","cervical cancer"
506,"cervical discharge","cervical discharge"
507,"cervical spasm","cervical spasm"
508,"change in bowel habits","bowel habits"
509,"change in BP","BP"
510,"change in mood/ activity/ cognitive","mood/ activity/ cognitive"
511,"Change in thyroid function","thyroid function"
512,"changes in AST","AST"
513,"cheilitis","cheilitis"
514,"chemical conjunctivitis/ keratitis","chemical conjunctivitis/ keratitis"
515,"chemical cystitis","chemical cystitis"
516,"chemical peritonitis","chemical peritonitis"
517,"chest pain","chest pain"
518,"chest tightness","chest tightness"
519,"CHF","CHF"
520,"chills","chills"
521,"chills/ rigors","chills/ rigors"
522,"chloasma","chloasma"
523,"choking attacks","choking attacks"
524,"cholecystitis","cholecystitis"
525,"cholelithiasis","cholelithiasis"
526,"cholestasis","cholestasis"
527,"cholestatic hepatitis","cholestatic hepatitis"
528,"cholestatic jaundice","cholestatic jaundice"
529,"cholesterol embolism","cholesterol embolism"
530,"cholinergic effects","cholinergic"
531,"chondrocalcinosis pyrophosphate","chondrocalcinosis pyrophosphate"
532,"chorea","chorea"
533,"choreiform","choreiform"
534,"choreoathetosis","choreoathetosis"
535,"Chorioretinopathy","Chorioretinopathy"
536,"choroidal detachment","choroidal detachment"
537,"chromaturia","chromaturia"
538,"chronic cystitis","chronic cystitis"
539,"chronic fatigue syndrome","chronic fatigue"
540,"chronic gastritis","chronic gastritis"
541,"Churg-Strauss syndrome","Churg-Strauss"
542,"Cinchonism","Cinchonism"
543,"circulatory collapse","circulatory collapse"
544,"circulatory depression","circulatory depression"
545,"circulatory overload","circulatory overload"
546,"circumoral pallor","circumoral pallor"
547,"cirrhosis","cirrhosis"
548,"CJD","CJD"
549,"Cl imbalance","Cl imbalance"
550,"Cl. Difficile","Cl. Difficile"
551,"Cl. difficile GI infection","Cl. difficile GI"
552,"climacteric onset masked","climacteric onset masked"
553,"clitoral hypertrophy","clitoral hypertrophy"
554,"closed angle glaucoma","closed angle glaucoma"
555,"Clostridium difficile diarrhoea","Clostridium difficile diarrhoea"
556,"Clostridium difficile GI infection","Clostridium difficile GI"
557,"CMV","CMV"
558,"CMV retinitis","CMV retinitis"
559,"CNS demyelinating disease","CNS demyelinating"
560,"CNS depression","CNS depression"
561,"CNS disturbance","CNS"
562,"CNS disturbances","CNS disturbances"
563,"CNS effects","CNS"
564,"CNS excitation","CNS excitation"
565,"CNS excitation/ depression","CNS excitation/ depression"
566,"CNS haemorrhage","CNS haemorrhage"
567,"CNS neoplasm","CNS neoplasm"
568,"CNS reaction","CNS"
569,"CNS stimulation","CNS stimulation"
570,"CNS symptoms","CNS"
571,"CNS symptoms assoc with intracranial haemorrhage","CNS intracranial haemorrhage"
572,"CNS toxicity","CNS toxicity"
573,"CNS/ psychiatric disturbance","CNS/ psychiatric"
574,"coagulation disorder","coagulation"
575,"coagulation factor dilution","coagulation factor dilution"
576,"coarsening of facial features","coarsening facial features"
577,"cognitive impairment","cognitive impairment"
578,"cold clammy skin","cold clammy skin"
579,"cold extremities","cold extremities"
580,"cold feet","cold feet"
581,"colic","colic"
582,"colitis","colitis"
583,"collecting renal duct carcinoma","collecting renal duct carcinoma"
584,"colonic ischaemia","colonic ischaemia"
585,"colonic perforation","colonic perforation"
586,"coma","coma"
587,"compartment syndrome","compartment"
588,"complete A-V block","complete A-V block"
589,"complex behaviour","complex behaviour"
590,"complex behaviours","complex behaviours"
591,"complex behaviours while not fully awake","complex behaviours while not fully awake"
592,"compression fracture","compression fracture"
593,"compromised male and female fertility","compromised male female fertility"
594,"compulsive behaviour","compulsive behaviour"
595,"compulsive behaviour shopping","compulsive behaviour shopping"
596,"compulsive shopping","compulsive shopping"
597,"compulsive spending","compulsive spending"
598,"compulsive spending or buying","compulsive spending buying"
599,"concentration difficulty","concentration difficulty"
600,"Conduction disorder","Conduction"
601,"conduction disturbance","conduction"
602,"confusion","confusion"
603,"congenital heart lesion","congenital heart lesion"
604,"congenital malformation","congenital malformation"
605,"congenital malformations","congenital malformations"
606,"congested state","congested state"
607,"congestive","congestive"
608,"conjunctival","conjunctival"
609,"conjunctival allergy","conjunctival allergy"
610,"conjunctival congestion","conjunctival congestion"
611,"conjunctival hyperaemia","conjunctival hyperaemia"
612,"conjunctival irritation","conjunctival irritation"
613,"conjunctival suffusion","conjunctival suffusion"
614,"conjunctival vasoconstriction","conjunctival vasoconstriction"
615,"conjunctival xerosis","conjunctival xerosis"
616,"conjunctivitis","conjunctivitis"
617,"connective tissue","connective tissue"
618,"Constipation","Constipation"
619,"contact","contact"
620,"contact allergy","contact allergy"
621,"contact dermatitis","contact dermatitis"
622,"contact lens discolouration","contact lens discolouration"
623,"contact lens intolerance","contact lens intolerance"
624,"contusion","contusion"
625,"convulsion","convulsion"
626,"convulsions","convulsions"
627,"cool sensation","cool sensation"
628,"Coombs' test","Coombs' test"
629,"coordination","coordination"
630,"coordination abnormality","coordination"
631,"corneal","corneal"
632,"corneal calcification","corneal calcification"
633,"corneal changes","corneal"
634,"Corneal clouding","Corneal clouding"
635,"corneal damage","corneal damage"
636,"corneal degeneration","corneal degeneration"
637,"corneal deposit","corneal deposit"
638,"Corneal deposits","Corneal deposits"
639,"corneal disorder","corneal"
640,"corneal dryness","corneal dryness"
641,"corneal erosion","corneal erosion"
642,"corneal exposure","corneal exposure"
643,"corneal infection","corneal"
644,"corneal lesion","corneal lesion"
645,"corneal necrosis","corneal necrosis"
646,"corneal oedema","corneal oedema"
647,"corneal opacity","corneal opacity"
648,"corneal perforation","corneal perforation"
649,"corneal precipitates","corneal precipitates"
650,"corneal staining","corneal staining"
651,"corneal/ retinal changes","corneal/ retinal"
652,"coronary","coronary"
653,"Coronary artery","Coronary artery"
654,"Coronary artery disease","Coronary artery"
655,"coronary artery vasospasm","coronary artery vasospasm"
656,"coronary spasm","coronary spasm"
657,"cortical","cortical"
658,"cortical blindness","cortical blindness"
659,"corticoid-like effects","corticoid-like"
660,"costochondritis","costochondritis"
661,"cough","cough"
662,"cough with hypoxaemia","cough hypoxaemia"
663,"Coughing","Coughing"
664,"coughing bronchospasm","coughing bronchospasm"
665,"cramps","cramps"
666,"cranial nerve neuritis","cranial nerve neuritis"
667,"craniosynostosis","craniosynostosis"
668,"Crohn's disease","Crohn's"
669,"crusting","crusting"
670,"cryptococcal meningitis","cryptococcal meningitis"
671,"crystalluria","crystalluria"
672,"Cushing syndrome","Cushing"
673,"Cushingoid features","Cushingoid features"
674,"Cushing's syndrome","Cushing's"
675,"cutaneous allergic reaction","cutaneous allergic"
676,"cutaneous amyloidosis","cutaneous amyloidosis"
677,"cutaneous discolouration","cutaneous discolouration"
678,"cutaneous hypersensitivity","cutaneous hypersensitivity"
679,"cutaneous lupus ","cutaneous lupus "
680,"cutaneous necrosis","cutaneous necrosis"
681,"cutaneous vasculitic toxicity","cutaneous vasculitic toxicity"
682,"cutaneous vasculitis","cutaneous vasculitis"
683,"cyanide","cyanide"
684,"cyanosis","cyanosis"
685,"cycle shortening","cycle shortening"
686,"cylindruria","cylindruria"
687,"cyst","cyst"
688,"cystitis","cystitis"
689,"cysts","cysts"
690,"cytarabine syndrome","cytarabine"
691,"cytokine release syndrome","cytokine release"
692,"cytolytic cholestatic hepatitis","cytolytic cholestatic hepatitis"
693,"cytolytic hepatitis","cytolytic hepatitis"
694,"cytomegaloviral colitis","cytomegaloviral colitis"
695,"dapsone syndrome","dapsone"
696,"dark urine","dark urine"
697,"dark/ light adaptation impairment","dark/ light adaptation impairment"
698,"darkening","darkening"
699,"daytime anxiety","daytime anxiety"
700,"daytime drowsiness","daytime drowsiness"
701,"deafness","deafness"
702,"decr albumin","albumin"
703,"decr alertness","alertness"
704,"decr allergic responses","allergic responses"
705,"decr appetite","appetite"
706,"decr blood Na","blood Na"
707,"decr blood testosterone","blood testosterone"
708,"decr BMD","BMD"
709,"decr BMD and growth rate in children and adolescents","BMD growth children adolescents"
710,"decr body temperature","body temperature"
711,"Decr bone density","bone density"
712,"decr BP","BP"
713,"decr breast size","breast size"
714,"decr bronchial secretion","bronchial secretion"
715,"decr carbohydrate tolerance","carbohydrate tolerance"
716,"decr cardiac output","cardiac output"
717,"decr carnitine","carnitine"
718,"decr ClCr","ClCr"
719,"decr coagulation time","coagulation time"
720,"decr consciousness","consciousness"
721,"decr coordination","coordination"
722,"decr CV function","CV function"
723,"decr ejaculate volume","ejaculate volume"
724,"decr ejection fraction","ejection fraction"
725,"decr endometrial thickness","endometrial thickness"
726,"decr female fertility","female fertility"
727,"decr fertility","fertility"
728,"decr globulins","globulins"
729,"decr glucose tolerance","glucose tolerance"
730,"decr growth velocity in children","growth velocity children"
731,"decr haematocrit","haematocrit"
732,"decr Hb","Hb"
733,"decr HCT","HCT"
734,"decr HDL","HDL"
735,"decr HDL-C levels","HDL-C"
736,"decr hearing","hearing"
737,"decr height gain","height gain"
738,"decr HR","HR"
739,"decr hypotony","hypotony"
740,"decr ICP","ICP"
741,"decr IgG","IgG"
742,"decr immunity","immunity"
743,"decr incr fractures","fractures"
744,"decr infection resistance","infection resistance"
745,"decr insulin sensitivity","insulin sensitivity"
746,"decr intellectual function 2-4 days postop","intellectual function 2-4 days postop"
747,"decr intraocular pressure","intraocular pressure"
748,"decr intravascular volume effects","intravascular volume"
749,"decr K","K"
750,"decr K levels","K"
751,"decr libido","libido"
752,"decr lipoprotein","lipoprotein"
753,"decr LVEF","LVEF"
754,"decr lymphocyte count","lymphocyte count"
755,"decr lymphocytes","lymphocytes"
756,"decr mental alertness","mental alertness"
757,"decr mental status","mental status"
758,"decr mood change for less than or equal to 6 days","mood for less than equal to 6 days"
759,"decr motility","motility"
760,"decr Na","Na"
761,"decr night vision","night vision"
762,"decr opportunistic infection ","opportunistic infection"
763,"decr oxygen saturation","oxygen saturation"
764,"decr pancreatic enzymes","pancreatic enzymes"
765,"decr Phosphate","Phosphate"
766,"decr platelet count","platelet count"
767,"decr prolactin","prolactin"
768,"decr protein","protein"
