1142,1137,"pneumococcal vaccine","fever","60 very common","","","","","",""
3,2000,"abatacept","leucopenia","40 poss","","","","","",""
3,3682,"abatacept","urticaria","40 poss","","","","","",""
3,316,"abatacept","basal cell carcinoma","40 poss","","","","","",""
3,3179,"abatacept","serious hypersensitivity","40 poss","","","","","",""
3,661,"abatacept","cough","40 poss","","","","","",""
3,35,"abatacept","abnormal LFTs","40 poss","","","","","",""
3,154,"abatacept","alopecia","40 poss","","","","","",""
3,890,"abatacept","dizziness","40 poss","","","","","",""
3,270,"abatacept","asthenia","40 poss","","","","","",""
3,1824,"abatacept","infusion","40 poss","","","","","",""
3,1116,"abatacept","fatigue","40 poss","","","","","",""
3,1164,"abatacept","flushing","40 poss","","","","","",""
3,1234,"abatacept","GI upset","40 poss","","","","","",""
3,1316,"abatacept","headache","40 poss","","","","","",""
3,1426,"abatacept","hyper/ hypotension","40 poss","","","","","",""
3,1467,"abatacept","hypersensitivity","40 poss","","","","","",""
3,1810,"abatacept","infection","40 poss","","","","","",""
4,1280,"abciximab rmc","haematoma","40 poss","","","","","",""
4,3494,"abciximab rmc","thrombocytopenia","40 poss","","","","","",""
4,3081,"abciximab rmc","retroperitoneal bleed","40 poss","","","","","",""
4,2883,"abciximab rmc","pulmonary","40 poss","","","","","",""
4,2357,"abciximab rmc","nervous system effects","40 poss","","","","","",""
4,1883,"abciximab rmc","intracranial haemorrhage","40 poss","","","","","",""
4,1852,"abciximab rmc","inj site pain","40 poss","","","","","",""
4,602,"abciximab rmc","confusion","40 poss","","","","","",""
4,1266,"abciximab rmc","GU","40 poss","","","","","",""
4,5,"abciximab rmc","Ab development","40 poss","","","","","",""
4,1222,"abciximab rmc","GI bleed","40 poss","","","","","",""
4,1234,"abciximab rmc","GI upset","40 poss","","","","","",""
4,355,"abciximab rmc","bleeding","40 poss","","","","","",""
4,304,"abciximab rmc","back pain","40 poss","","","","","",""
4,152,"abciximab rmc","allergy","40 poss","","","","","",""
4,1278,"abciximab rmc","haematological disturbance ","40 poss","","","","","",""
5,1380,"abiraterone acetate","hepatotoxicity","40 poss","","","","","",""
5,3695,"abiraterone acetate","UTI","40 poss","","","","","",""
5,2664,"abiraterone acetate","peripheral oedema","40 poss","","","","","",""
5,1476,"abiraterone acetate","hypertension","40 poss","","","","","",""
5,1283,"abiraterone acetate","haematuria","40 poss","","","","","",""
5,932,"abiraterone acetate","dyspepsia","40 poss","","","","","",""
5,108,"abiraterone acetate","adrenal suppression","40 poss","","","","","",""
5,461,"abiraterone acetate","cardiac failure","40 poss","","","","","",""
5,255,"abiraterone acetate","arrhythmia","40 poss","","","","","",""
5,197,"abiraterone acetate","angina","40 poss","","","","","",""
5,1175,"abiraterone acetate","fractures","40 poss","","","","","",""
5,1514,"abiraterone acetate","hypokalaemia","40 poss","","","","","",""
6,1177,"acamprosate calcium","frigidity","40 poss","","","","","",""
6,2842,"acamprosate calcium","pruritus","40 poss","","","","","",""
6,2012,"acamprosate calcium","libido changes","40 poss","","","","","",""
6,1234,"acamprosate calcium","GI upset","40 poss","","","","","",""
6,850,"acamprosate calcium","diarrhoea","40 poss","","","","","",""
6,2963,"acamprosate calcium","rash","40 poss","","","","","",""
6,1595,"acamprosate calcium","impotence","40 poss","","","","","",""
7,2731,"acarbose","pneumatosis cystoides intestinalis","40 poss","","","","","",""
7,3374,"acarbose","subileus","40 poss","","","","","",""
7,3494,"acarbose","thrombocytopenia","40 poss","","","","","",""
7,2963,"acarbose","rash","40 poss","","","","","",""
7,2949,"acarbose","raised LFTs","40 poss","","","","","",""
7,1467,"acarbose","hypersensitivity","40 poss","","","","","",""
7,1231,"acarbose","GI pain","40 poss","","","","","",""
7,850,"acarbose","diarrhoea","40 poss","","","","","",""
7,1555,"acarbose","ileus","40 poss","","","","","",""
7,1155,"acarbose","Flatulence","40 poss","","","","","",""
8,3015,"acetazolamide","renal failure","40 poss","","","","","",""
8,1467,"acetazolamide","hypersensitivity","40 poss","","","","","",""
8,1512,"acetazolamide","Hypoglycaemia","40 poss","","","","","",""
8,1852,"acetazolamide","inj site pain","40 poss","","","","","",""
8,1915,"acetazolamide","irritability","40 poss","","","","","",""
8,1932,"acetazolamide","jaundice","40 poss","","","","","",""
8,2062,"acetazolamide","loss of appetite","40 poss","","","","","",""
8,2161,"acetazolamide","metabolic acidosis","40 poss","","","","","",""
8,2606,"acetazolamide","paraesthesia","40 poss","","","","","",""
8,2742,"acetazolamide","polydipsia","40 poss","","","","","",""
8,2963,"acetazolamide","rash","40 poss","","","","","",""
8,3285,"acetazolamide","skin reaction","40 poss","","","","","",""
8,3445,"acetazolamide","taste perversion","40 poss","","","","","",""
8,3485,"acetazolamide","thirst","40 poss","","","","","",""
8,3534,"acetazolamide","tinnitus","40 poss","","","","","",""
8,1428,"acetazolamide","hyper/hypotension","40 poss","","","","","",""
8,2110,"acetazolamide","malaise","40 poss","","","","","",""
8,2750,"acetazolamide","polyuria","40 poss","","","","","",""
8,602,"acetazolamide","confusion","40 poss","","","","","",""
8,1317,"acetazolamide","hearing disorder","40 poss","","","","","",""
8,190,"acetazolamide","anaphylactic reaction","40 poss","","","","","",""
8,563,"acetazolamide","CNS effects","40 poss","","","","","",""
8,626,"acetazolamide","convulsions","40 poss","","","","","",""
8,671,"acetazolamide","crystalluria","40 poss","","","","","",""
8,829,"acetazolamide","depression","40 poss","","","","","",""
8,890,"acetazolamide","dizziness","40 poss","","","","","",""
8,899,"acetazolamide","drowsiness","40 poss","","","","","",""
8,2525,"acetazolamide","osteomalacia","40 poss","","","","","",""
8,1316,"acetazolamide","headache","40 poss","","","","","",""
8,35,"acetazolamide","abnormal LFTs","40 poss","","","","","",""
8,1116,"acetazolamide","fatigue","40 poss","","","","","",""
8,1137,"acetazolamide","fever","40 poss","","","","","",""
8,1148,"acetazolamide","flaccid paralysis","40 poss","","","","","",""
8,1164,"acetazolamide","flushing","40 poss","","","","","",""
8,368,"acetazolamide","blood dyscrasia","40 poss","","","","","",""
8,1234,"acetazolamide","GI upset","40 poss","","","","","",""
8,1265,"acetazolamide","growth inhibition","40 poss","Children","","","","",""
8,963,"acetazolamide","Electrolyte abnormality","40 poss","","","","","",""
11,646,"acetylcholine chloride","corneal oedema","40 poss","","","","","",""
11,634,"acetylcholine chloride","Corneal clouding","40 poss","","","","","",""
12,1234,"acetylcysteine","GI upset","40 poss","","","","","",""
12,3105,"acetylcysteine","rigors","40 poss","","","","","",""
12,3682,"acetylcysteine","urticaria","40 poss","","","","","",""
12,3494,"acetylcysteine","thrombocytopenia","40 poss","","","","","",""
12,3416,"acetylcysteine","syncope","40 poss","","","","","",""
12,3234,"acetylcysteine","shock","40 poss","","","","","",""
12,3039,"acetylcysteine","respiratory disturbance","40 poss","","","","","",""
12,2957,"acetylcysteine","raised temperature","40 poss","","","","","",""
12,2110,"acetylcysteine","malaise","40 poss","","","","","",""
12,1494,"acetylcysteine","hypo/ hypertension","40 poss","","","","","",""
12,1339,"acetylcysteine","hepatic damage","40 poss","","","","","",""
12,3723,"acetylcysteine","vasodilatation","40 poss","","","","","",""
12,255,"acetylcysteine","arrhythmia","40 poss","","","","","",""
12,1211,"acetylcysteine","generalised seizure","40 poss","","","","","",""
12,3364,"acetylcysteine","stridor","40 poss","","","","","",""
12,190,"acetylcysteine","anaphylactic reaction","40 poss","","","","","",""
12,229,"acetylcysteine","anxiety","40 poss","","","","","",""
12,376,"acetylcysteine","blurred vision","40 poss","","","","","",""
12,61,"acetylcysteine","acidosis","40 poss","","","","","",""
12,423,"acetylcysteine","bronchospasm","40 poss","","","","","",""
12,450,"acetylcysteine","cardiac arrest","40 poss","","","","","",""
12,661,"acetylcysteine","cough","40 poss","","","","","",""
12,937,"acetylcysteine","dyspnoea","40 poss","","","","","",""
12,1072,"acetylcysteine","eye pain","40 poss","","","","","",""
12,1164,"acetylcysteine","flushing","40 poss","","","","","",""
12,205,"acetylcysteine","angioedema","40 poss","","","","","",""
13,3682,"aciclovir","urticaria","40 poss","","","","","",""
13,2691,"aciclovir","phlebitis","40 poss","","","","","",""
13,1821,"aciclovir","influenza resistance","40 poss","","","","","",""
13,3150,"aciclovir","seizure","40 poss","","","","","",""
13,2963,"aciclovir","rash","40 poss","","","","","",""
13,2872,"aciclovir","psychosis","40 poss","","","","","",""
13,2701,"aciclovir","photosensitivity","40 poss","","","","","",""
13,1996,"aciclovir","lethargy","40 poss","","","","","",""
13,1693,"aciclovir","incr LFTs","40 poss","","","","","",""
13,1651,"aciclovir","incr creatinine","40 poss","","","","","",""
13,1234,"aciclovir","GI upset","40 poss","","","","","",""
13,602,"aciclovir","confusion","40 poss","","","","","",""
13,586,"aciclovir","coma","40 poss","","","","","",""
13,560,"aciclovir","CNS depression","40 poss","","","","","",""
13,368,"aciclovir","blood dyscrasia","40 poss","","","","","",""
13,2842,"aciclovir","pruritus","40 poss","","","","","",""
13,1798,"aciclovir","increase urea ","40 poss","","","","","",""
14,2309,"acitretin","nail fragility","40 poss","","","","","",""
14,3096,"acitretin","Rhinitis","40 poss","","","","","",""
14,2963,"acitretin","rash","40 poss","","","","","",""
14,2842,"acitretin","pruritus","40 poss","","","","","",""
14,2793,"acitretin","premature epiphyseal closure","40 poss","Children","","","","",""
14,2664,"acitretin","peripheral oedema","40 poss","","","","","",""
14,3268,"acitretin","Skin discolouration","40 poss","","","","","",""
14,2327,"acitretin","nausea","40 poss","","","Y","","",""
14,3585,"acitretin","Transient initial symptom incr","40 poss","","","","","",""
14,2619,"acitretin","paronychia","40 poss","","","","","",""
14,3323,"acitretin","somnolence","40 poss","","","","","",""
14,3353,"acitretin","sticky skin","40 poss","","","","","",""
14,3359,"acitretin","stomatitis","40 poss","","","","","",""
14,3534,"acitretin","tinnitus","40 poss","","","","","",""
14,3796,"acitretin","vomiting","40 poss","","","Y","","",""
14,3766,"acitretin","vision disturbance","40 poss","","","","","",""
14,561,"acitretin","CNS disturbance","40 poss","","","","","",""
14,3774,"acitretin","visual disturbance","40 poss","","","Y","","",""
14,2263,"acitretin","musculoskeletal disturbance","40 poss","","","","","",""
14,3443,"acitretin","taste disturbance","40 poss","","","","","",""
14,1060,"acitretin","extraskeletal calcification","40 poss","","","","","","Prolonged use"
14,829,"acitretin","depression","40 poss","","","","","",""
14,154,"acitretin","alopecia","40 poss","","","","","",""
14,623,"acitretin","contact lens intolerance","40 poss","","","","","",""
14,906,"acitretin","dry eyes","40 poss","","","","","",""
14,907,"acitretin","dry lips","40 poss","","","","","",""
14,911,"acitretin","dry skin","40 poss","","","","","",""
14,1781,"acitretin","incr TGs","40 poss","","","","","",""
14,1031,"acitretin","erythema","40 poss","","","","","",""
14,1116,"acitretin","fatigue","40 poss","","","","","",""
14,1164,"acitretin","flushing","40 poss","","","","","",""
14,1239,"acitretin","gingivitis","40 poss","","","","","",""
14,1316,"acitretin","headache","40 poss","","","Y","","",""
14,1359,"acitretin","hepatitis","40 poss","","","","","",""
14,1380,"acitretin","hepatotoxicity","40 poss","","","","","",""
14,1459,"acitretin","hyperostosis","40 poss","","","","","","Prolonged use"
14,1693,"acitretin","incr LFTs","40 poss","","","","","",""
14,1762,"acitretin","incr serum cholesterol","40 poss","","","","","",""
14,1021,"acitretin","epistaxis","40 poss","","","","","",""
15,1234,"aclidinium","GI upset","40 poss","","","","","",""
15,3252,"aclidinium","sinusitis","40 poss","","","","","",""
15,3096,"aclidinium","Rhinitis","40 poss","","","","","",""
15,2325,"aclidinium","nasopharyngitis","40 poss","","","","","",""
15,908,"aclidinium","dry mouth","40 poss","","","","","",""
15,819,"aclidinium","dental caries","40 poss","","","","","",""
15,661,"aclidinium","cough","40 poss","","","","","",""
15,1103,"aclidinium","falls","40 poss","","","","","",""
15,2598,"aclidinium","paradoxical bronchospasm","40 poss","","","Y","","",""
18,2606,"adalimumab","paraesthesia","40 poss","","","","","",""
18,1680,"adalimumab","incr infection related events","40 poss","","","","","",""
18,1690,"adalimumab","incr LDH","40 poss","","","","","",""
18,1693,"adalimumab","incr LFTs","40 poss","","","","","",""
18,1810,"adalimumab","infection","40 poss","","","","","",""
18,1852,"adalimumab","inj site pain","40 poss","","","","","",""
18,1862,"adalimumab","insomnia","40 poss","","","","","",""
18,2083,"adalimumab","lupus-like syndrome","40 poss","","","Y","","",""
18,2113,"adalimumab","malignancy","40 poss","","","","","",""
18,2171,"adalimumab","MI","40 poss","","","","","",""
18,2264,"adalimumab","musculoskeletal pain","40 poss","","","","","",""
18,2460,"adalimumab","oedema","40 poss","","","","","",""
18,2812,"adalimumab","prolonged APPT","40 poss","","","","","",""
18,3017,"adalimumab","renal impairment","40 poss","","","","","",""
18,3285,"adalimumab","skin reaction","40 poss","","","","","",""
18,3436,"adalimumab","tachycardia","40 poss","","","","","",""
18,3747,"adalimumab","vertigo","40 poss","","","","","",""
18,3779,"adalimumab","visual impairment","40 poss","","","","","",""
18,2399,"adalimumab","new/ worsening psoriasis","40 poss","","","","","",""
18,1675,"adalimumab","incr incidence of malignancy","40 poss","","","","","",""
18,2385,"adalimumab","neutralising Ab","40 poss","","","","","",""
18,661,"adalimumab","cough","40 poss","","","","","",""
18,2494,"adalimumab","opportunistic infection","40 poss","","","","","",""
18,255,"adalimumab","arrhythmia","40 poss","","","","","",""
18,272,"adalimumab","asthma","40 poss","","","","","",""
18,291,"adalimumab","autoAb formation","40 poss","","","","","",""
18,325,"adalimumab","benign neoplasm","40 poss","","","","","",""
18,368,"adalimumab","blood dyscrasia","40 poss","","","","","",""
18,448,"adalimumab","carcinoma","40 poss","","","","","",""
18,1476,"adalimumab","hypertension","40 poss","","","","","",""
18,229,"adalimumab","anxiety","40 poss","","","","","",""
18,798,"adalimumab","dehydration","40 poss","","","","","",""
18,1294,"adalimumab","haemorrhage","40 poss","","","","","",""
18,1469,"adalimumab","hypersensitivity reaction","40 poss","","","","","",""
18,517,"adalimumab","chest pain","40 poss","","","","","",""
18,1316,"adalimumab","headache","40 poss","","","","","",""
18,816,"adalimumab","demyelinating disorder","40 poss","","","Y","","",""
18,1283,"adalimumab","haematuria","40 poss","","","","","",""
18,1234,"adalimumab","GI upset","40 poss","","","","","",""
18,965,"adalimumab","electrolyte disturbance","40 poss","","","","","",""
18,937,"adalimumab","dyspnoea","40 poss","","","","","",""
18,829,"adalimumab","depression","40 poss","","","","","",""
18,1454,"adalimumab","hyperlipidaemia","40 poss","","","","","",""
19,1091,"adapalene","facial oedema","40 poss","","","","","",""
19,2842,"adapalene","pruritus","40 poss","","","","","",""
19,3750,"adapalene","vesiculobullous eruption","40 poss","","","","","",""
19,3393,"adapalene","sunburn","40 poss","","","","","",""
19,3279,"adapalene","Skin irritation","40 poss","","","","","",""
19,2993,"adapalene","redness of skin","40 poss","","","","","",""
19,1385,"adapalene","herpes labialis","40 poss","","","","","",""
19,616,"adapalene","conjunctivitis","40 poss","","","","","",""
19,1083,"adapalene","eyelid oedema","40 poss","","","","","",""
19,3122,"adapalene","scaling","40 poss","","","","","",""
19,435,"adapalene","burning sensation","40 poss","","","","","",""
19,621,"adapalene","contact dermatitis","40 poss","","","","","",""
19,911,"adapalene","dry skin","40 poss","","","","","",""
19,63,"adapalene","acne exacerbation","40 poss","","","","","",""
19,954,"adapalene","eczema","40 poss","","","","","",""
19,1050,"adapalene","exfoliative cutaneous reaction","40 poss","","","","","",""
21,3346,"adefovir dipivoxil","steatosis","40 poss","","","","","",""
21,2585,"adefovir dipivoxil","pancreatitis","40 poss","","","","","",""
21,2352,"adefovir dipivoxil","nephrotoxicity","40 poss","","","","","",""
21,2842,"adefovir dipivoxil","pruritus","40 poss","","","","","",""
21,2781,"adefovir dipivoxil","post-treatment hepatitis exacerbation","40 poss","","","","","",""
21,2525,"adefovir dipivoxil","osteomalacia","40 poss","","","","","",""
21,3015,"adefovir dipivoxil","renal failure","40 poss","","","","","",""
21,1968,"adefovir dipivoxil","lactic acidosis","40 poss","","","","","",""
21,1523,"adefovir dipivoxil","hypophosphataemia","40 poss","","","","","",""
21,1374,"adefovir dipivoxil","hepatomegaly","40 poss","","","","","",""
21,1316,"adefovir dipivoxil","headache","40 poss","","","","","",""
21,1234,"adefovir dipivoxil","GI upset","40 poss","","","","","",""
21,270,"adefovir dipivoxil","asthenia","40 poss","","","","","",""
21,2298,"adefovir dipivoxil","myopathy","40 poss","","","","","",""
21,2840,"adefovir dipivoxil","proximal renal tubulopathy","40 poss","","","","","",""
22,3526,"adenosine","TIA","40 poss","","","","","",""
22,1531,"adenosine","hypotension","40 poss","","","","","",""
22,1884,"adenosine","intracranial hypertension","40 poss","","","","","",""
22,2171,"adenosine","MI","40 poss","","","","","",""
22,2327,"adenosine","nausea","40 poss","","","","","",""
22,3044,"adenosine","respiratory failure","40 poss","","","","","",""
22,3150,"adenosine","seizure","40 poss","","","","","",""
22,3250,"adenosine","sinus pause","40 poss","","","","","",""
22,3290,"adenosine","skipped beats","40 poss","","","","","",""
22,3416,"adenosine","syncope","40 poss","","","","","",""
22,3740,"adenosine","ventricular excitability disorder","40 poss","","","","","",""
22,435,"adenosine","burning sensation","40 poss","","","","","",""
22,1316,"adenosine","headache","40 poss","","","","","",""
22,3365,"adenosine","stroke","40 poss","","","","","",""
22,399,"adenosine","bradycardia","40 poss","","","","","",""
22,517,"adenosine","chest pain","40 poss","","","","","",""
22,274,"adenosine","asystole","40 poss","","","","","",""
22,300,"adenosine","A-V block","40 poss","","","","","",""
22,249,"adenosine","apprehension","40 poss","","","","","",""
22,423,"adenosine","bronchospasm","40 poss","","","","","",""
22,1164,"adenosine","flushing","40 poss","","","","","",""
22,450,"adenosine","cardiac arrest","40 poss","","","","","",""
22,190,"adenosine","anaphylactic reaction","40 poss","","","","","",""
22,890,"adenosine","dizziness","40 poss","","","","","",""
22,937,"adenosine","dyspnoea","40 poss","","","","","",""
22,1128,"adenosine","feeling of thoracic constriction/ oppression","40 poss","","","","","",""
22,279,"adenosine","atrial extrasystoles","40 poss","","","","","",""
23,3055,"adrenaline (epinephrine)","restlessness","40 poss","","","","","",""
23,2583,"adrenaline (epinephrine)","palpitation","40 poss","","","","","",""
23,2872,"adrenaline (epinephrine)","psychosis","40 poss","","","","","",""
23,2895,"adrenaline (epinephrine)","pulmonary oedema","40 poss","","","","","",""
23,3033,"adrenaline (epinephrine)","respiratory difficulty","40 poss","","","","","",""
23,3302,"adrenaline (epinephrine)","Sleeplessness","40 poss","","","","","",""
23,3402,"adrenaline (epinephrine)","sweating","40 poss","","","","","",""
23,3436,"adrenaline (epinephrine)","tachycardia","40 poss","","","","","",""
23,2140,"adrenaline (epinephrine)","memory impairment","40 poss","","","","","",""
23,3738,"adrenaline (epinephrine)","ventricular arrhythmia","40 poss","","","","","",""
23,2576,"adrenaline (epinephrine)","pallor","40 poss","","","","","",""
23,3807,"adrenaline (epinephrine)","weakness","40 poss","","","","","",""
23,3607,"adrenaline (epinephrine)","tremor","40 poss","","","","","",""
23,496,"adrenaline (epinephrine)","cerebral haemmorhage","40 poss","","","","","",""
23,2868,"adrenaline (epinephrine)","psychomotor agitation","40 poss","","","","","",""
23,1476,"adrenaline (epinephrine)","hypertension","40 poss","","","","","",""
23,250,"adrenaline (epinephrine)","apprehensiveness","40 poss","","","","","",""
23,579,"adrenaline (epinephrine)","cold extremities","40 poss","","","","","",""
23,873,"adrenaline (epinephrine)","disorientation","40 poss","","","","","",""
23,890,"adrenaline (epinephrine)","dizziness","40 poss","","","","","",""
23,937,"adrenaline (epinephrine)","dyspnoea","40 poss","","","","","",""
23,1120,"adrenaline (epinephrine)","fear","40 poss","","","","","",""
23,1164,"adrenaline (epinephrine)","flushing","40 poss","","","","","",""
23,1234,"adrenaline (epinephrine)","GI upset","40 poss","","","","","",""
23,1307,"adrenaline (epinephrine)","hallucination","40 poss","","","","","",""
23,1316,"adrenaline (epinephrine)","headache","40 poss","","","","","",""
23,229,"adrenaline (epinephrine)","anxiety","40 poss","","","","","",""
28,2084,"afatinib","LV dysfunction","40 poss","","","","","",""
28,2817,"afatinib","Prolonged erection","40 poss","","","","","",""
28,2248,"afatinib","muscle spasms","40 poss","","","","","",""
28,2325,"afatinib","nasopharyngitis","40 poss","","","","","",""
28,2581,"afatinib","palmar-plantar erythrodysaesthesia syndrome","40 poss","","","","","",""
28,2585,"afatinib","pancreatitis","40 poss","","","","","",""
28,2619,"afatinib","paronychia","40 poss","","","","","",""
28,2701,"afatinib","photosensitivity","40 poss","","","","","",""
28,2842,"afatinib","pruritus","40 poss","","","","","",""
28,2914,"afatinib","pyrexia","40 poss","","","","","",""
28,2949,"afatinib","raised LFTs","40 poss","","","","","",""
28,2963,"afatinib","rash","40 poss","","","","","",""
28,3099,"afatinib","rhinorrhoea","40 poss","","","","","",""
28,3285,"afatinib","skin reaction","40 poss","","","","","",""
28,3268,"afatinib","Skin discolouration","40 poss","","","","","",""
28,3681,"afatinib","URTI","40 poss","","","","","",""
28,513,"afatinib","cheilitis","40 poss","","","","","",""
28,1950,"afatinib","keratitis","40 poss","","","","","",""
28,616,"afatinib","conjunctivitis","40 poss","","","","","",""
28,688,"afatinib","cystitis","40 poss","","","","","",""
28,705,"afatinib","decr appetite","40 poss","","","","","",""
28,799,"afatinib","dehydration renal impairment/ failure","40 poss","","","","","",""
28,850,"afatinib","diarrhoea","40 poss","","","","","",""
28,905,"afatinib","dry eye","40 poss","","","","","",""
28,1554,"afatinib","ILD-like events","40 poss","","","","","",""
28,963,"afatinib","Electrolyte abnormality","40 poss","","","","","",""
28,1021,"afatinib","epistaxis","40 poss","","","","","",""
28,1234,"afatinib","GI upset","40 poss","","","","","",""
28,1343,"afatinib","hepatic dysfunction","40 poss","","","","","",""
28,1514,"afatinib","hypokalaemia","40 poss","","","","","",""
28,1553,"afatinib","ILD","40 poss","","","Y","","",""
28,3359,"afatinib","stomatitis","40 poss","","","","","",""
28,924,"afatinib","dysgeusia","40 poss","","","","","",""
29,3059,"aflibercept","retinal degeneration","40 poss","","","","","",""
29,2901,"aflibercept","punctate keratitis","40 poss","","","","","",""
29,2460,"aflibercept","oedema","40 poss","","","","","",""
29,3060,"aflibercept","retinal detachment","40 poss","","","","","",""
29,2423,"aflibercept","nuclear cataract","40 poss","","","","","",""
29,3789,"aflibercept","vitreous detachment","40 poss","","","","","",""
29,2449,"aflibercept","ocular hyperaemia","40 poss","","","","","",""
29,3069,"aflibercept","retinal pigment epithelium tear","40 poss","","","","","",""
29,3071,"aflibercept","retinal thrombosis","40 poss","","","","","",""
29,3365,"aflibercept","stroke","40 poss","","","","","",""
29,3696,"aflibercept","uveitis","40 poss","","","","","",""
29,3790,"aflibercept","vitreous floaters","40 poss","","","","","",""
29,2416,"aflibercept","nonfatal MI","40 poss","","","","","",""
29,1847,"aflibercept","Inj site haemorrhage","40 poss","","","","","",""
29,3372,"aflibercept","subcapsular","40 poss","","","","","",""
29,657,"aflibercept","cortical","40 poss","","","","","",""
29,48,"aflibercept","abrasion","40 poss","","","","","",""
29,1916,"aflibercept","irritation","40 poss","","","","","",""
29,1888,"aflibercept","intraocular inflammation","40 poss","","","","","",""
29,486,"aflibercept","cataract","40 poss","","","","","",""
29,641,"aflibercept","corneal erosion","40 poss","","","","","",""
29,376,"aflibercept","blurred vision","40 poss","","","","","",""
29,784,"aflibercept","decr visual acuity","40 poss","","","","","",""
29,999,"aflibercept","endophthalmitis","40 poss","","","","","",""
29,1072,"aflibercept","eye pain","40 poss","","","","","",""
29,1083,"aflibercept","eyelid oedema","40 poss","","","","","",""
29,1170,"aflibercept","foreign body sensation","40 poss","","","","","",""
29,1467,"aflibercept","hypersensitivity","40 poss","","","","","",""
29,1686,"aflibercept","incr IOP","40 poss","","","","","",""
29,1689,"aflibercept","incr lacrimation","40 poss","","","","","",""
29,608,"aflibercept","conjunctival","40 poss","","","","","",""
30,2583,"agalsidase alfa","palpitation","40 poss","","","","","",""
30,1689,"agalsidase alfa","incr lacrimation","40 poss","","","","","",""
30,1551,"agalsidase alfa","IgG","40 poss","","","","","",""
30,1826,"agalsidase alfa","infusion reaction","40 poss","Children","","","","",""
30,2020,"agalsidase alfa","limb pain","40 poss","","","","","",""
30,1549,"agalsidase alfa","IgE Ab development","40 poss","","","","","",""
30,2033,"agalsidase alfa","Livedo reticularis","40 poss","","","","","",""
30,2376,"agalsidase alfa","neuropathic pain","40 poss","","","","","",""
30,2664,"agalsidase alfa","peripheral oedema","40 poss","","","","","",""
30,3607,"agalsidase alfa","tremor","40 poss","","","","","",""
30,2914,"agalsidase alfa","pyrexia","40 poss","","","","","",""
30,3105,"agalsidase alfa","rigors","40 poss","","","","","",""
30,3436,"agalsidase alfa","tachycardia","40 poss","","","","","",""
30,3534,"agalsidase alfa","tinnitus","40 poss","","","","","",""
30,2842,"agalsidase alfa","pruritus","40 poss","","","","","",""
30,1497,"agalsidase alfa","hypo/ paraesthesia","40 poss","","","","","",""
30,3492,"agalsidase alfa","throat tightness","40 poss","","","","","",""
30,304,"agalsidase alfa","back pain","40 poss","","","","","",""
30,2963,"agalsidase alfa","rash","40 poss","","","","","",""
